SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,TIMEZONE,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,INLAND_ENI,STATUS_NAME,YOB,DWT,CURRENT_PORT_UNLOCODE,AREA_CODE,ETA_OFFSET,SPEED,DRAUGHT,LENGTH,WIDTH,STATUS,ETA_UPDATED,DISTANCE_TO_GO,AREA_NAME,PORT_ID,CURRENT_PORT,COLLECTION_NAME,CTA_ROUTE_FORECAST
141266,0,211563860,DC5822,RIVER DISCOVERY II,6,1671989962,1,DE,Germany,71,BASEL,CH,2291,1666659600.0,BASEL,,Passenger,320,7.77362,50.07313,02334834,Underway using Engine,,,,"INLEU - Inland, Europe",2,11.4,0.2,135.0,11.5,ACTIVE,,0,"Inland, Europe",,,-,false
330089,0,269057090,HE7090,SWISS PEARL,6,1688184183,2,CH,Switzerland,64,COCHEM,DE,25373,1688200200.0,COCHEM,DE,Passenger,190,7.45683,50.27374,07001632,Underway using Engine,,,DECOC,"INLEU - Inland, Europe",2,2.2,1.4,110.0,11.4,ACTIVE,,0,"Inland, Europe",25373,COCHEM,-,false
3509925,8643858,244850762,PA6146,MI VIDA,7,1688200292,1,NL,Netherlands,110,ZEEBRUGGE,BE,265,-2208988800.0,,,Cargo,182,8.480282,49.76143,08023148,Underway,1992,2103,,"INLEU - Inland, Europe",1,6.5,7.5,109.0,10.4,ACTIVE,,0,"Inland, Europe",,,-,false
3890950,0,269057543,HE7543,AMASTELLA,6,1688199902,1,CH,Switzerland,66,AMSTERDAM,NL,1766,1687609800.0,AMSTERDAM,,Passenger,329,14.0243,48.33983,07002031,Underway using Engine,,,,"INLEU - Inland, Europe",2,9.8,1.6,135.0,11.4,ACTIVE,,0,"Inland, Europe",,,-,false
3989910,0,269057470,HE7470,VIKING GULLVEIG,6,1688200247,2,CH,Switzerland,66,BUDAPEST,HU,82,1688115600.0,BUDAPEST,HU,Passenger,211,19.05317,47.48846,07001984,Moored,,,HUBUD,"INLEU - Inland, Europe",2,0.0,1.8,135.0,11.5,ACTIVE,,0,"Inland, Europe",82,BUDAPEST,-,false
137250,9239329,211496500,DA7774,EILTANK 46,8,1688200305,1,DE,Germany,102,ROTTERDAM,NL,2036,1688252400.0,NLRTM01105DOCKX00014,,Tanker,17,6.6781,51.54759,04805700,Underway using Engine,2001,2100,,"INLEU - Inland, Europe",2,10.9,2.0,86.0,11.4,ACTIVE,2023-07-01 05:49:00,71,"Inland, Europe",,,-,true
37473,0,253242395,LX2395,CARITAS KVB,8,1688200318,1,LU,Luxembourg,97,BIRSFELDEN,CH,2288,,BIRSFELDEN,,Tanker,100,5.638228,51.89892,02320920,Underway using Engine,1993,,,"INLEU - Inland, Europe",,5.3,1.6,95.0,22.8,ACTIVE,2023-07-01 06:16:00,329,North Sea,,,-,true
107285,0,205346390,OT3463,ROSARIUM,7,1688200292,2,BE,Belgium,123,,,,1676651400.0,BLAVANDSHUK FYR,DE,Cargo,31,6.694578,51.20115,06105033,Moored,,,DENSS,"INLEU - Inland, Europe",,0.0,1.7,135.0,11.4,ACTIVE,,0,"Inland, Europe",5076,NEUSS,-,false
108916,0,205263890,OT2638,YARIS,7,1688199866,1,BE,Belgium,81,DORDRECHT,NL,1826,,DORDRECHT,,Cargo,201,7.748377,48.42573,06004045,Underway,,,,"INLEU - Inland, Europe",,7.3,4.0,110.0,11.5,ACTIVE,2023-07-01 05:23:00,342,"Inland, Europe",,,-,true
113338,0,205387990,OT3879,MARCO POLO,7,1688198863,1,BE,Belgium,129,WESEL,DE,18865,,WESEL,,Cargo,187,10.13067,49.69783,02327327,Underway using Engine,,,,"INLEU - Inland, Europe",,4.9,2.3,135.0,11.4,ACTIVE,2023-07-01 08:15:00,318,"Inland, Europe",,,-,true
237976,9044724,244660715,PH6072,SERDON,8,1688198575,1,NL,Netherlands,66,SLUISKIL,NL,1422,1688036400.0,SLUISKIL,,Tanker,63,6.79825,51.65005,02320108,Underway using Engine,1992,4500,,"INLEU - Inland, Europe",2,4.3,1.4,86.0,11.4,ACTIVE,,0,"Inland, Europe",,,-,false
237761,0,244660500,PG6584,KENORA,8,1688200111,2,NL,Netherlands,118,BRUGGE,BE,4270,1683885600.0,BRUGGE,NL,Tanker,171,5.873525,51.13609,02008197,Moored,,,NLMSB,"INLEU - Inland, Europe",2,0.0,8.8,86.0,8.6,ACTIVE,,0,"Inland, Europe",1953,MAASBRACHT,-,false
237909,9017525,244660648,PF3162,STOLT MAIN,8,1688151014,1,NL,Netherlands,116,FRANKFURT AM MAIN,DE,3938,1688156880.0,FRANKFURT MAIN,,Tanker,38,8.422869,50.00587,02320282,Underway using Engine,1992,2120,,"INLEU - Inland, Europe",2,8.3,20.0,86.0,11.4,ACTIVE,2023-06-30 19:22:00,40,"Inland, Europe",,,-,true
140512,0,211547860,DF6867,FRANCONIA,8,1688200301,2,DE,Germany,113,AMSTERDAM,NL,1766,1685707200.0,AMSTERDAM,DE,Tanker,305,6.754332,51.24927,04809440,Underway using Engine,,,DEDUS,"INLEU - Inland, Europe",2,10.7,1.5,110.1,11.5,ACTIVE,,0,"Inland, Europe",5077,DUSSELDORF,-,false
4248879,0,211735050,,WAPPEN VON BREMEN,9,1687447608,1,DE,Germany,23,,,,,No data (CLASS B transponder),,Sailing Vessel,322,8.640603,53.1596,0,Class B,2016,,,"INLEU - Inland, Europe",,0.0,4.9,17.0,5.0,ACTIVE,,0,North Sea,,,-,false
5076592,0,269057612,HE7612,OSCAR WILDE,6,1688200305,1,CH,Switzerland,39,KOELN,DE,1515,,KOLN,,Passenger,286,8.375076,50.0016,07002066,Underway using Engine,,,,"INLEU - Inland, Europe",,5.5,1.6,85.0,9.5,ACTIVE,2023-07-01 07:54:00,86,"Inland, Europe",,,-,true
245957,9598347,244730048,PB9049,ANGELIQUE,8,1688200294,2,NL,Netherlands,90,ROTTERDAM,NL,2036,1687467600.0,NLRTM,NL,Tanker,248,4.723663,51.89853,02333629,Underway using Engine,2010,6270,NLSRE,"INLEU - Inland, Europe",2,8.4,0.2,125.0,14.0,ACTIVE,,0,North Sea,,STREEFKERK,-,false
3351547,0,267210220,YT2614,RUBIKON 21,8,1688200057,3,SK,Slovakia,111,CONSTANTA,RO,67,1664049600.0,CONSTANTA,UA,Tanker,,28.29246,45.39083,04029390,Stopped,,,UARNI,"INLEU - Inland, Europe",3,0.0,1.2,85.9,22.7,ACTIVE,,0,"Inland, Europe",17216,RENI,-,false
3227728,0,269057517,HE7517,VIKING VE,6,1688200305,1,CH,Switzerland,55,AMSTERDAM,NL,1766,,AMSTERDAM,,Passenger,238,8.449797,50.01751,07002015,Underway using Engine,,,,"INLEU - Inland, Europe",,8.2,1.9,135.0,11.4,ACTIVE,2023-07-01 08:26:00,267,"Inland, Europe",,,-,true
139516,0,211523460,DF3567,NEMO,8,1688087741,2,DE,Germany,121,STRASBOURG,FR,24037,1688072400.0,STRASBOURG,FR,Tanker,236,7.803417,48.59974,04804120,Underway using Engine,,,FRSXB,"INLEU - Inland, Europe",2,5.9,2.1,110.0,11.0,ACTIVE,,0,"Inland, Europe",24037,STRASBOURG,-,false
138614,0,211513810,DG4212,EILTANK 65,8,1688200300,1,DE,Germany,82,BIRSFELDEN,CH,2288,,BIRSFELDEN,,Tanker,130,7.039317,50.78231,02333925,Underway using Engine,2010,,,"INLEU - Inland, Europe",,5.2,1.5,110.0,11.0,ACTIVE,2023-07-01 06:52:00,227,"Inland, Europe",,,-,true
110432,9328778,205309590,OT3095,MEDUSA,7,1688191549,1,BE,Belgium,122,ANTWERP,BE,117,,BEAAA00016TERMC00013,,Cargo,224,7.656163,51.95489,06004189,Underway using Engine,2006,1770,,"INLEU - Inland, Europe",,4.1,1.3,84.9,9.6,ACTIVE,,0,"Inland, Europe",2520,,-,false
237863,0,244660602,PD2445,FEROX,7,1688189860,2,NL,Netherlands,127,CHEMPARK LEVERKUSEN,DE,21708,,LEVERKUSEN,NL,Cargo,225,6.53351,52.20955,06003739,Underway using Engine,,,NLZUT,"INLEU - Inland, Europe",,4.9,1.2,109.0,9.5,ACTIVE,2023-07-01 05:39:00,129,North Sea,2146,ZUTPHEN,-,true
236220,0,244650811,PI6453,KARIN,8,1688200308,2,NL,Netherlands,136,,,,,SCHLEUSE SCHWEDT,DE,Tanker,255,6.768152,51.45001,02314198,Underway using Engine,,,DEDUI,"INLEU - Inland, Europe",,6.1,2.8,80.0,8.2,ACTIVE,,0,"Inland, Europe",1505,DUISBURG,-,false
3368375,0,256404000,9HA3903,EMERALD SUN,6,1688200182,1,MT,Malta,93,AMSTERDAM,NL,1766,,AMSTERDAM,,Passenger,114,13.86748,48.43505,02336090,Underway using Engine,,,,"INLEU - Inland, Europe",,9.6,1.7,135.0,11.5,ACTIVE,2023-07-01 07:18:00,668,"Inland, Europe",,,-,true
250855,0,244780247,PA3030,BARRACUDA,6,1688128416,1,NL,Netherlands,60,BREMEN,DE,467,-2208988800.0,BREMEN,,Passenger,265,9.339042,52.38871,02335151,Underway using Engine,2014,,,"INLEU - Inland, Europe",1,5.8,1.2,22.0,4.8,ACTIVE,,0,"Inland, Europe",,,-,false
249248,0,244750916,PG7416,SUBLIME,7,1688200324,1,NL,Netherlands,122,NEUSS,DE,5076,,NEUSS,,Cargo,110,5.752313,51.88307,04804560,Underway using Engine,,,,"INLEU - Inland, Europe",,5.8,1.6,110.0,11.4,ACTIVE,2023-07-01 06:56:00,60,North Sea,,,-,true
330459,0,269057497,HE7497,VIKING VIDAR,6,1688068319,2,CH,Switzerland,38,BUDAPEST,HU,82,,BUDAPEST,,Passenger,247,24.3843,43.71139,07002019,Underway,,,,"INLEU - Inland, Europe",,8.9,1.8,135.0,11.5,ACTIVE,2023-06-29 20:10:00,421,"Inland, Europe",,,-,true
233238,0,244620823,PI3034,CAESAR,7,1688200302,2,NL,Netherlands,153,ANTWERP,BE,117,,ANTWERPEN,NL,Cargo,211,5.883762,51.86324,02316385,Underway using Engine,1981,,NLBEM,"INLEU - Inland, Europe",,10.7,1.3,100.0,11.4,ACTIVE,2023-07-01 08:20:00,79,North Sea,,BEMMEL,-,true
239364,0,244670355,PF2400,BORNEO,7,1688200278,2,NL,Netherlands,128,MERTERT,LU,20471,-2208988800.0,MERTERT,NL,Cargo,93,5.34108,51.7767,02327438,Moored,,,NLKRD,"INLEU - Inland, Europe",1,0.0,2.6,110.0,12.0,ACTIVE,,0,North Sea,1910,KERKDRIEL,-,false
220574,9433169,244020207,PD2138,UNION XII,8,1688200189,2,NL,Netherlands,93,KOELN,DE,1515,1688070600.0,KOLN NIEHL 2,DE,Tanker,143,6.964958,51.01691,02330152,Moored,2008,4750,DENHL,"INLEU - Inland, Europe",2,0.0,2.2,110.0,11.4,ACTIVE,,0,"Inland, Europe",4195,NIEHL,-,false
587,9502702,228344800,FLTF,RMT PENFRET,3,1688200224,2,FR,France,92,ROUEN,FR,1315,,ROUEN,FR,Special Craft,264,1.008848,49.38739,,Stopped,2010,,FRURO,"INLEU - Inland, Europe",,0.0,5.3,32.0,11.6,ACTIVE,,0,"Inland, Europe",1315,ROUEN,-,false
7480315,0,244394546,PA4844,DUTCH GRACE,6,1688200210,2,NL,Netherlands,179,PASSAU,DE,1522,,PASSAU DONAU,DE,Passenger,342,8.674223,50.10608,04801620,Moored,,,DEFRA,"INLEU - Inland, Europe",,0.0,1.5,110.0,11.4,ACTIVE,,0,"Inland, Europe",3938,FRANKFURT AM MAIN,-,false
287395,0,249000927,9HB3194,BELLE DE JOUR,9,1687268339,2,MT,Malta,62,,,,,No data (CLASS B transponder),NL,Pleasure Craft,0,5.393015,52.25827,,Class B,,,,"INLEU - Inland, Europe",,0.0,0.0,29.0,7.0,ACTIVE,,0,North Sea,21643,DE EEMHOF,-,false
2930984,9524188,211488620,DC4474,A ROSA VIVA,6,1688200161,2,DE,Germany,43,CAUDEBEC EN CAUX,FR,3898,1675749600.0,CAUDEBEC EN CAUX,FR,Passenger,183,1.07276,49.44307,04808020,Stopped,2010,260,FRURO,"INLEU - Inland, Europe",1,0.0,1.7,135.0,11.4,ACTIVE,,0,"Inland, Europe",1315,ROUEN,-,false
136092,0,211475930,DF3964,HYPERION,7,1688200249,1,DE,Germany,122,OOSTROZEBEKE,BE,4147,,OOSTROZEBEKE,,Cargo,291,4.9502,51.96376,02204724,Underway using Engine,,,,"INLEU - Inland, Europe",,7.7,2.2,85.0,10.0,ACTIVE,2023-07-01 08:04:00,100,North Sea,,,-,true
237678,0,244660416,PG3954,NORTE,8,1686983451,1,NL,Netherlands,69,ANTWERP,BE,117,1595293200.0,ANTWERPEN,,Tanker,109,5.232425,51.81407,02315898,Underway by Sail,,,,"INLEU - Inland, Europe",2,36.1,1.0,102.0,9.5,ACTIVE,,0,North Sea,,,-,false
